Shipment_ID,Origin_Warehouse,Destination,Carrier,Shipment_Date,Delivery_Date,Weight_kg,Cost,Status,Distance_miles,Transit_Days
SH10001,Mumbai_Warehouse,Hyderabad,DHL,2025-02-02,2025-02-08,8.1,979.63,Delivered,2202,6
SH10002,Delhi_Warehouse,Kolkata,Delhivery,2025-10-10,2025-10-14,6.9,186.22,Delivered,202,4
SH10003,Bengaluru_Warehouse,Ahmedabad,BlueDart,2025-08-27,2025-08-30,11.6,685.09,Delivered,1024,3
SH10004,Delhi_Warehouse,Kolkata,DHL,2025-06-10,2025-06-14,11.1,646.05,Delivered,1173,4
SH10005,Hyderabad_Warehouse,Delhi,Delhivery,2025-06-08,2025-06-14,15.1,1044.77,Delivered,2005,6
SH10006,Bengaluru_Warehouse,Chennai,Delhivery,2025-11-10,2025-11-11,24.5,449.7,Delivered,366,1
SH10007,Ahmedabad_Warehouse,Ahmedabad,Ecom Express,2025-02-01,2025-02-06,16.7,811.41,Delivered,1113,5
SH10008,Ahmedabad_Warehouse,Nashik,FedEx,2025-09-12,2025-09-15,29.6,509.75,Delivered,423,3
SH10009,Delhi_Warehouse,Nashik,Delhivery,2025-03-15,2025-03-22,14.3,1093.32,Delivered,1980,7
SH10010,Ahmedabad_Warehouse,Delhi,XpressBees,2025-02-04,2025-02-10,48.5,1130.93,Delivered,1599,6
SH10011,Delhi_Warehouse,Pune,FedEx,2025-07-12,2025-07-17,29.2,846.07,Delivered,1267,5
SH10012,Mumbai_Warehouse,Surat,XpressBees,2025-12-23,2025-12-27,20.6,681.25,Delivered,1013,4
SH10013,Pune_Warehouse,Nashik,Ecom Express,2025-09-26,2025-09-28,24.6,425.02,In Transit,425,2
SH10014,Delhi_Warehouse,Jaipur,BlueDart,2025-10-05,2025-10-13,11.8,1138.88,Delivered,2309,8
SH10015,Ahmedabad_Warehouse,Ahmedabad,XpressBees,2025-09-19,2025-09-23,14.9,943.03,Delivered,1637,4
SH10016,Hyderabad_Warehouse,Ahmedabad,XpressBees,2025-10-14,2025-10-16,14.5,508.67,Delivered,832,2
SH10017,Mumbai_Warehouse,Jaipur,FedEx,2025-07-07,2025-07-11,10.0,611.88,Delayed,1064,4
SH10018,Mumbai_Warehouse,Kolkata,XpressBees,2025-02-16,2025-02-23,6.0,938.16,Delayed,1829,7
SH10019,Bengaluru_Warehouse,Surat,DHL,2025-11-03,2025-11-08,25.4,1012.01,Delivered,1813,5
SH10020,Bengaluru_Warehouse,Kolkata,DHL,2025-06-14,2025-06-19,32.7,913.8,Delivered,1180,5
SH10021,Hyderabad_Warehouse,Hyderabad,DHL,2025-07-02,2025-07-03,23.1,613.0,Delivered,792,1
SH10022,Pune_Warehouse,Nagpur,BlueDart,2025-05-16,2025-05-21,16.7,913.01,Delivered,1667,5
SH10023,Hyderabad_Warehouse,Nashik,XpressBees,2025-03-08,2025-03-11,62.4,1198.41,Delivered,1663,3
SH10024,Delhi_Warehouse,Kolkata,Delhivery,2025-12-05,2025-12-10,10.9,790.08,Delivered,1519,5
SH10025,Delhi_Warehouse,Nashik,Delhivery,2025-10-13,2025-10-14,21.1,375.55,In Transit,228,1
SH10026,Delhi_Warehouse,Pune,DHL,2025-08-24,2025-08-27,35.7,986.8,Delayed,1208,3
SH10027,Ahmedabad_Warehouse,Chennai,Delhivery,2025-05-27,2025-06-01,7.5,827.66,Delivered,1554,5
SH10028,Delhi_Warehouse,Chennai,BlueDart,2025-10-28,2025-11-04,26.7,1367.65,In Transit,2378,7
SH10029,Bengaluru_Warehouse,Pune,BlueDart,2025-07-19,,50.5,1004.71,Delivered,1338,4
SH10030,Ahmedabad_Warehouse,Surat,FedEx,2025-06-11,2025-06-15,17.7,596.85,Delivered,889,4
SH10031,Mumbai_Warehouse,Pune,FedEx,2025-06-14,2025-06-19,19.8,908.48,Delayed,1412,5
SH10032,Bengaluru_Warehouse,Mumbai,XpressBees,2025-03-24,2025-03-26,10.9,327.1,Delivered,484,2
SH10033,Hyderabad_Warehouse,Surat,Delhivery,2025-02-03,2025-02-04,24.4,454.73,Delivered,272,1
SH10034,Ahmedabad_Warehouse,Nashik,BlueDart,2025-07-22,2025-07-28,9.8,922.67,Delivered,1712,6
SH10035,Mumbai_Warehouse,Nashik,DHL,2025-11-21,2025-11-28,17.0,1275.75,Delivered,2467,7
SH10036,Hyderabad_Warehouse,Chennai,Ecom Express,2025-01-24,2025-01-31,5.4,999.48,Delivered,2123,7
SH10037,Hyderabad_Warehouse,Jaipur,BlueDart,2025-11-10,2025-11-15,1.8,662.65,Delivered,1480,5
SH10038,Delhi_Warehouse,Ahmedabad,BlueDart,2025-10-30,2025-10-31,12.6,346.91,Delivered,148,1
SH10039,Hyderabad_Warehouse,Surat,Ecom Express,2025-04-12,2025-04-19,12.4,1257.97,Delivered,2471,7
SH10040,Delhi_Warehouse,Pune,DHL,2025-08-19,2025-08-23,13.4,696.47,Delivered,1152,4
SH10041,Bengaluru_Warehouse,Surat,Delhivery,2025-03-02,2025-03-05,28.6,619.17,Delivered,759,3
SH10042,Delhi_Warehouse,Delhi,XpressBees,2025-10-04,2025-10-10,33.3,1304.67,Delivered,2237,6
SH10043,Pune_Warehouse,Jaipur,BlueDart,2025-09-13,2025-09-18,21.7,1062.69,Delivered,1879,5
SH10044,Hyderabad_Warehouse,Delhi,DHL,2025-05-10,2025-05-16,27.3,1126.58,Delivered,1887,6
SH10045,Pune_Warehouse,Delhi,FedEx,2025-01-25,2025-01-27,10.1,512.84,Delivered,730,2
SH10046,Pune_Warehouse,Delhi,DHL,2025-12-21,2025-12-27,8.3,1149.11,Delivered,2480,6
SH10047,Ahmedabad_Warehouse,Ahmedabad,Delhivery,2025-06-12,2025-06-16,24.7,696.07,Delayed,1159,4
SH10048,Ahmedabad_Warehouse,Kolkata,BlueDart,2025-11-22,2025-11-28,7.4,715.38,Delivered,1352,6
SH10049,Bengaluru_Warehouse,Pune,DHL,2025-09-05,2025-09-11,6.8,835.5,Delivered,1890,6
SH10050,Bengaluru_Warehouse,Jaipur,Ecom Express,2025-10-12,2025-10-16,83.1,1468.69,Delivered,1667,4
SH10051,Delhi_Warehouse,Kolkata,FedEx,2025-10-05,2025-10-09,18.5,407.48,Delivered,472,4
SH10052,Bengaluru_Warehouse,Nagpur,BlueDart,2025-03-13,2025-03-17,12.4,544.67,Delivered,791,4
SH10053,Bengaluru_Warehouse,Surat,XpressBees,2025-05-13,2025-05-16,11.4,678.64,Delivered,935,3
SH10054,Bengaluru_Warehouse,Mumbai,DHL,2025-06-20,2025-06-24,5.5,1016.04,Delivered,2372,4
SH10055,Bengaluru_Warehouse,Bengaluru,FedEx,2025-07-01,2025-07-06,21.4,1143.4,In Transit,1801,5
SH10056,Bengaluru_Warehouse,Hyderabad,FedEx,2025-01-16,2025-01-21,14.3,586.47,Delivered,947,5
SH10057,Ahmedabad_Warehouse,Ahmedabad,Delhivery,2025-07-19,2025-07-26,32.7,1154.08,Delayed,1850,7
SH10058,Hyderabad_Warehouse,Delhi,FedEx,2025-02-26,2025-03-03,25.2,997.58,Delivered,1860,5
SH10059,Delhi_Warehouse,Delhi,XpressBees,2025-09-29,2025-10-04,13.9,679.7,Delayed,1016,5
SH10060,Bengaluru_Warehouse,Kolkata,DHL,2025-09-07,2025-09-09,3.3,546.29,In Transit,1038,2
SH10061,Pune_Warehouse,Nashik,XpressBees,2025-12-03,2025-12-09,18.5,1175.09,Delivered,2241,6
SH10062,Pune_Warehouse,Surat,Delhivery,2025-09-29,2025-10-03,17.4,720.68,Delivered,1427,4
SH10063,Hyderabad_Warehouse,Mumbai,DHL,2025-05-14,2025-05-18,2.8,282.58,Delivered,416,4
SH10064,Bengaluru_Warehouse,Hyderabad,DHL,2025-12-20,2025-12-26,23.3,1086.45,Delivered,1814,6
SH10065,Mumbai_Warehouse,Jaipur,DHL,2025-05-30,2025-06-05,7.2,756.1,Delivered,1495,6
SH10066,Delhi_Warehouse,Surat,FedEx,2025-04-29,2025-05-02,33.8,976.62,Delayed,1297,3
SH10067,Ahmedabad_Warehouse,Chennai,FedEx,2025-11-27,2025-12-03,16.7,1051.6,In Transit,1827,6
SH10068,Bengaluru_Warehouse,Mumbai,Delhivery,2025-05-16,2025-05-23,11.2,1094.6,Delivered,2273,7
SH10069,Ahmedabad_Warehouse,Nagpur,FedEx,2025-01-28,2025-01-30,20.3,701.06,Delivered,859,2
SH10070,Bengaluru_Warehouse,Delhi,Ecom Express,2025-06-21,2025-06-23,19.5,700.58,Delivered,1077,2
SH10071,Mumbai_Warehouse,Kolkata,FedEx,2025-10-18,2025-10-22,19.0,460.12,Delivered,514,4
SH10072,Pune_Warehouse,Chennai,FedEx,2025-03-11,2025-03-16,30.9,1034.79,Delivered,1635,5
SH10073,Mumbai_Warehouse,Nashik,FedEx,2025-06-18,2025-06-21,21.2,699.55,Delivered,1037,3
SH10074,Hyderabad_Warehouse,Bengaluru,FedEx,2025-02-17,2025-02-20,10.5,397.97,Delivered,889,3
SH10075,Hyderabad_Warehouse,Chennai,XpressBees,2025-09-08,2025-09-14,14.6,931.84,Delivered,1757,6
SH10076,Delhi_Warehouse,Surat,FedEx,2025-06-23,,41.6,799.58,Delivered,1050,4
SH10077,Hyderabad_Warehouse,Jaipur,FedEx,2025-05-01,2025-05-04,9.8,751.71,Delivered,1188,3
SH10078,Bengaluru_Warehouse,Nashik,XpressBees,2025-03-24,2025-03-30,23.1,837.34,Delivered,1128,6
SH10079,Hyderabad_Warehouse,Bengaluru,Delhivery,2025-07-26,2025-07-30,31.7,683.17,Delivered,683,4
