Shipment_ID,Origin_Warehouse,Destination,Carrier,Shipment_Date,Delivery_Date,Weight_kg,Cost,Status,Distance_miles,Transit_Days,Invalid_Date
SH10001,Mumbai_Warehouse,Hyderabad,DHL,2/2/2025,2/8/2025,8.1,979.63,Delivered,2202,6,FALSE
SH10002,Delhi_Warehouse,Kolkata,Delhivery,10/10/2025,10/14/2025,6.9,186.22,Delivered,202,4,FALSE
SH10003,Bengaluru_Warehouse,Ahmedabad,BlueDart,8/27/2025,8/30/2025,11.6,685.09,Delivered,1024,3,FALSE
SH10004,Delhi_Warehouse,Kolkata,DHL,6/10/2025,6/14/2025,11.1,646.05,Delivered,1173,4,FALSE
SH10005,Hyderabad_Warehouse,Delhi,Delhivery,6/8/2025,6/14/2025,15.1,1044.77,Delivered,2005,6,FALSE
SH10006,Bengaluru_Warehouse,Chennai,Delhivery,11/10/2025,11/11/2025,24.5,449.7,Delivered,366,1,FALSE
SH10007,Ahmedabad_Warehouse,Ahmedabad,Ecom Express,2/1/2025,2/6/2025,16.7,811.41,Delivered,1113,5,FALSE
SH10008,Ahmedabad_Warehouse,Nashik,FedEx,9/12/2025,9/15/2025,29.6,509.75,Delivered,423,3,FALSE
SH10009,Delhi_Warehouse,Nashik,Delhivery,3/15/2025,3/22/2025,14.3,1093.32,Delivered,1980,7,FALSE
SH10010,Ahmedabad_Warehouse,Delhi,XpressBees,2/4/2025,2/10/2025,48.5,1130.93,Delivered,1599,6,FALSE
SH10011,Delhi_Warehouse,Pune,FedEx,7/12/2025,7/17/2025,29.2,846.07,Delivered,1267,5,FALSE
SH10012,Mumbai_Warehouse,Surat,XpressBees,12/23/2025,12/27/2025,20.6,681.25,Delivered,1013,4,FALSE
SH10013,Pune_Warehouse,Nashik,Ecom Express,9/26/2025,9/28/2025,24.6,425.02,In Transit,425,2,FALSE
SH10014,Delhi_Warehouse,Jaipur,BlueDart,10/5/2025,10/13/2025,11.8,1138.88,Delivered,2309,8,FALSE
SH10015,Ahmedabad_Warehouse,Ahmedabad,XpressBees,9/19/2025,9/23/2025,14.9,943.03,Delivered,1637,4,FALSE
SH10016,Hyderabad_Warehouse,Ahmedabad,XpressBees,10/14/2025,10/16/2025,14.5,508.67,Delivered,832,2,FALSE
SH10017,Mumbai_Warehouse,Jaipur,FedEx,7/7/2025,7/11/2025,10,611.88,Delayed,1064,4,FALSE
SH10018,Mumbai_Warehouse,Kolkata,XpressBees,2/16/2025,2/23/2025,6,938.16,Delayed,1829,7,FALSE
SH10019,Bengaluru_Warehouse,Surat,DHL,11/3/2025,11/8/2025,25.4,1012.01,Delivered,1813,5,FALSE
SH10020,Bengaluru_Warehouse,Kolkata,DHL,6/14/2025,6/19/2025,32.7,913.8,Delivered,1180,5,FALSE
SH10021,Hyderabad_Warehouse,Hyderabad,DHL,7/2/2025,7/3/2025,23.1,613,Delivered,792,1,FALSE
SH10022,Pune_Warehouse,Nagpur,BlueDart,5/16/2025,5/21/2025,16.7,913.01,Delivered,1667,5,FALSE
SH10023,Hyderabad_Warehouse,Nashik,XpressBees,3/8/2025,3/11/2025,62.4,1198.41,Delivered,1663,3,FALSE
SH10024,Delhi_Warehouse,Kolkata,Delhivery,12/5/2025,12/10/2025,10.9,790.08,Delivered,1519,5,FALSE
SH10025,Delhi_Warehouse,Nashik,Delhivery,10/13/2025,10/14/2025,21.1,375.55,In Transit,228,1,FALSE
SH10026,Delhi_Warehouse,Pune,DHL,8/24/2025,8/27/2025,35.7,986.8,Delayed,1208,3,FALSE
SH10027,Ahmedabad_Warehouse,Chennai,Delhivery,5/27/2025,6/1/2025,7.5,827.66,Delivered,1554,5,FALSE
SH10028,Delhi_Warehouse,Chennai,BlueDart,10/28/2025,11/4/2025,26.7,1367.65,In Transit,2378,7,FALSE
SH10029,Bengaluru_Warehouse,Pune,BlueDart,7/19/2025,7/23/2025,50.5,1004.71,Delivered,1338,4,FALSE
SH10030,Ahmedabad_Warehouse,Surat,FedEx,6/11/2025,6/15/2025,17.7,596.85,Delivered,889,4,FALSE
SH10031,Mumbai_Warehouse,Pune,FedEx,6/14/2025,6/19/2025,19.8,908.48,Delayed,1412,5,FALSE
SH10032,Bengaluru_Warehouse,Mumbai,XpressBees,3/24/2025,3/26/2025,10.9,327.1,Delivered,484,2,FALSE
SH10033,Hyderabad_Warehouse,Surat,Delhivery,2/3/2025,2/4/2025,24.4,454.73,Delivered,272,1,FALSE
SH10034,Ahmedabad_Warehouse,Nashik,BlueDart,7/22/2025,7/28/2025,9.8,922.67,Delivered,1712,6,FALSE
SH10035,Mumbai_Warehouse,Nashik,DHL,11/21/2025,11/28/2025,17,1275.75,Delivered,2467,7,FALSE
SH10036,Hyderabad_Warehouse,Chennai,Ecom Express,1/24/2025,1/31/2025,5.4,999.48,Delivered,2123,7,FALSE
SH10037,Hyderabad_Warehouse,Jaipur,BlueDart,11/10/2025,11/15/2025,1.8,662.65,Delivered,1480,5,FALSE
SH10038,Delhi_Warehouse,Ahmedabad,BlueDart,10/30/2025,10/31/2025,12.6,346.91,Delivered,148,1,FALSE
SH10039,Hyderabad_Warehouse,Surat,Ecom Express,4/12/2025,4/19/2025,12.4,1257.97,Delivered,2471,7,FALSE
SH10040,Delhi_Warehouse,Pune,DHL,8/19/2025,8/23/2025,13.4,696.47,Delivered,1152,4,FALSE
SH10041,Bengaluru_Warehouse,Surat,Delhivery,3/2/2025,3/5/2025,28.6,619.17,Delivered,759,3,FALSE
SH10042,Delhi_Warehouse,Delhi,XpressBees,10/4/2025,10/10/2025,33.3,1304.67,Delivered,2237,6,FALSE
SH10043,Pune_Warehouse,Jaipur,BlueDart,9/13/2025,9/18/2025,21.7,1062.69,Delivered,1879,5,FALSE
SH10044,Hyderabad_Warehouse,Delhi,DHL,5/10/2025,5/16/2025,27.3,1126.58,Delivered,1887,6,FALSE
SH10045,Pune_Warehouse,Delhi,FedEx,1/25/2025,1/27/2025,10.1,512.84,Delivered,730,2,FALSE
SH10046,Pune_Warehouse,Delhi,DHL,12/21/2025,12/27/2025,8.3,1149.11,Delivered,2480,6,FALSE
SH10047,Ahmedabad_Warehouse,Ahmedabad,Delhivery,6/12/2025,6/16/2025,24.7,696.07,Delayed,1159,4,FALSE
SH10048,Ahmedabad_Warehouse,Kolkata,BlueDart,11/22/2025,11/28/2025,7.4,715.38,Delivered,1352,6,FALSE
SH10049,Bengaluru_Warehouse,Pune,DHL,9/5/2025,9/11/2025,6.8,835.5,Delivered,1890,6,FALSE
SH10050,Bengaluru_Warehouse,Jaipur,Ecom Express,10/12/2025,10/16/2025,83.1,1468.69,Delivered,1667,4,FALSE
SH10051,Delhi_Warehouse,Kolkata,FedEx,10/5/2025,10/9/2025,18.5,407.48,Delivered,472,4,FALSE
SH10052,Bengaluru_Warehouse,Nagpur,BlueDart,3/13/2025,3/17/2025,12.4,544.67,Delivered,791,4,FALSE
SH10053,Bengaluru_Warehouse,Surat,XpressBees,5/13/2025,5/16/2025,11.4,678.64,Delivered,935,3,FALSE
SH10054,Bengaluru_Warehouse,Mumbai,DHL,6/20/2025,6/24/2025,5.5,1016.04,Delivered,2372,4,FALSE
